time/total_timesteps,rollout/ep_score_p90,rollout/ep_count,time/time_elapsed,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,time/fps,rollout/ep_score_median,train/ent_coef,train/entropy_loss,train/clip_fraction,train/approx_kl,train/learning_rate,train/explained_variance,train/clip_range,train/policy_gradient_loss,train/n_updates,train/loss,train/value_loss
270336,1362.9069565,98,15,822.6557248999999,33,83.87,17465,766.654525,0.014863616,-0.9538839131593704,0.0,0.00017126018,0.0008164992000000001,2.4020671844482422e-05,0.2,-0.000260628032265231,320,49207.44140625,99551.7458984375
278528,1452.9769414,99,15,816.85108502,34,83.31,17459,679.509548,0.014707967999999998,-0.9677992269396782,0.0,0.00021101152,0.0008107648000000001,7.724761962890625e-05,0.2,-0.00024706494878046215,330,54578.265625,110087.7896484375
286720,1463.91579,101,16,814.1743502499999,35,82.35,17449,698.205765,0.01455232,-0.9576822713017463,0.0,0.000412195,0.0008050304000000001,0.0010219216346740723,0.2,-0.0004392301751067862,340,61588.90625,122482.3986328125
294912,1295.5011661,100,16,774.25459988,36,80.02,17445,659.846849,0.014396672,-0.9481439650058746,0.0,8.8222005e-05,0.0007992960000000001,2.5510787963867188e-05,0.2,-0.0001988747389987111,350,55660.06640625,114864.629296875
303104,1307.344045,101,17,759.0948083100001,37,81.2,17437,684.713402,0.014241023999999998,-0.9402815729379654,0.0,0.00016776854,0.0007935615999999999,1.4662742614746094e-05,0.2,-0.00032337918964913114,360,51835.171875,105788.2197265625
311296,1318.028466,106,17,743.06834239,38,78.91,17428,608.7128035000001,0.014085376,-0.9348338007926941,0.0,0.0007618477,0.0007878272,4.4405460357666016e-05,0.2,-0.000664542758022435,370,50132.140625,103947.02578125
319488,1375.2486684,100,18,797.81394686,39,79.42,17423,626.3040619999999,0.013929727999999999,-0.9072610154747963,0.0,0.00014122517,0.0007820928,0.00011473894119262695,0.2,-0.0002612198935821652,380,47758.9296875,96053.055078125
327680,1359.1782980000003,105,18,767.62375239,40,78.31,17415,631.991195,0.013774080000000001,-0.9111122727394104,0.0,0.0004987746,0.0007763584,4.4345855712890625e-05,0.2,-0.0002685799729079008,390,67316.421875,127408.7958984375
335872,1391.5616653000002,104,19,801.12030958,41,79.52,17413,610.021659,0.013618432,-0.9140596106648445,0.0,5.1458723e-05,0.0007706240000000001,6.514787673950195e-05,0.2,3.294352791272104e-06,400,52917.2890625,108159.0154296875
344064,1365.6195811,98,19,792.1368535299999,42,81.35,17409,675.6998510000001,0.013462784000000002,-0.924600513279438,0.0,0.0002275103,0.0007648896000000001,4.89354133605957e-05,0.2,-6.423955637728796e-05,410,53791.50390625,111573.383203125
352256,1283.093294,106,20,748.7557892500001,43,77.89,17404,630.942135,0.013307136,-0.9181735798716545,0.0,0.000808639,0.0007591552000000001,8.96453857421875e-05,0.2,-0.0007839364960091188,420,54114.5234375,107307.0458984375
360448,1237.8181512,104,20,743.10149339,44,78.36,17398,682.593435,0.013151488,-0.9004013612866402,0.0,9.877374e-05,0.0007534208,0.00016158819198608398,0.2,-0.00016869837127160282,430,50262.54296875,96570.4716796875
368640,1433.805473,106,21,826.09995329,45,77.9,17393,714.6916415000001,0.012995839999999998,-0.8860887736082077,0.0,0.00034133455,0.0007476864,0.0005182027816772461,0.2,-0.0005522316176211461,440,48478.734375,93439.33671875
376832,1401.1465222,105,21,797.58169254,46,78.27,17386,671.332261,0.012840192,-0.8485815063118934,0.0,4.339256e-05,0.0007419519999999999,0.0009937882423400879,0.2,-7.998191576916725e-05,450,58753.79296875,119339.7234375
385024,1496.137715,101,22,853.8770772599997,47,81.52,17382,706.144988,0.012684543999999999,-0.8793866440653801,0.0,0.0005892392,0.0007362175999999999,0.0013769865036010742,0.2,-0.0002378405217314139,460,54600.23046875,110364.671484375
393216,1362.5035765999999,103,22,823.9391973199998,48,79.43,17381,737.372533,0.012528896000000001,-0.8907005384564399,0.0,9.1622365e-05,0.0007304831999999999,0.001361072063446045,0.2,-5.4779433412477374e-05,470,62427.84765625,123124.20625
401408,1236.7790267999999,103,23,776.57527496,49,79.56,17377,714.604495,0.012373248,-0.8862485527992249,0.0,8.452317e-05,0.0007247488,0.0036148428916931152,0.2,-6.921967142261564e-05,480,59164.65234375,113201.3205078125
409600,1409.1251942,102,23,847.95205407,50,80.62,17373,752.0648255000001,0.012217600000000002,-0.8973419159650803,0.0,0.00042782823,0.0007190144,0.0020710229873657227,0.2,-0.00035031691077165307,490,52875.80859375,103750.6005859375
417792,1588.0960085,98,24,858.17572411,51,82.51,17371,733.723151,0.012061952,-0.8754916295409203,0.0,2.5194684e-05,0.0007132800000000001,0.002437591552734375,0.2,-6.38217432424426e-05,500,58547.58203125,119633.7060546875
425984,1459.7853546000008,100,24,816.6284282400001,52,81.06,17367,688.216932,0.011906304000000003,-0.8810772642493248,0.0,5.5955657e-05,0.0007075456000000001,0.0011718273162841797,0.2,-0.00015820542466826737,510,61319.58203125,120977.4662109375
434176,1351.3926724,105,25,752.93898342,53,78.51,17364,619.207789,0.011750655999999998,-0.8908019125461578,0.0,0.0001264321,0.0007018112000000002,0.0006276369094848633,0.2,-0.00017259379383176564,520,52376.609375,107841.3294921875
442368,1366.606072,104,25,807.7665708400001,54,78.55,17382,738.8258450000001,0.011595008,-0.8840247988700867,0.0,6.785958e-05,0.0006960768,0.0019083619117736816,0.2,-8.674839555169455e-05,530,50867.80078125,98990.6076171875
450560,1262.8892836000002,105,25,769.8715243,55,77.58,17380,685.555841,0.011439359999999999,-0.8599512860178947,0.0,0.00015866989,0.0006903424000000001,0.0020132064819335938,0.2,-0.00025798001734074206,540,53003.30078125,105022.5421875
458752,1327.29162,106,26,797.7600953900001,56,77.42,17375,764.6465149999999,0.011283711999999998,-0.8565007597208023,0.0,6.0573264e-05,0.000684608,0.0009769201278686523,0.2,-0.00012020516151096672,550,46166.8671875,94569.87578125
466944,1448.8146524000003,102,26,819.38769817,57,79.34,17369,694.1233245000001,0.011128064,-0.8560996919870376,0.0,0.00048002717,0.0006788736,0.0028644204139709473,0.2,-0.00016316442051902413,560,53653.35546875,107575.6537109375
475136,1349.4461548,103,27,828.9051145300001,58,80.02,17366,743.947117,0.010972415999999999,-0.882117073237896,0.0,4.204266e-05,0.0006731392,0.004369139671325684,0.2,-1.720455475151539e-05,570,52030.6328125,107541.5931640625
483328,1406.9905614,109,27,761.2787253700001,59,75.86,17362,619.893765,0.010816768000000001,-0.8693083018064499,0.0,0.000655154,0.0006674048,0.0026596784591674805,0.2,-0.0005210581672145054,580,53712.5859375,107973.6740234375
491520,1350.5943022,103,28,790.46191852,60,78.53,17362,709.463979,0.01066112,-0.8508630469441414,0.0,0.0003131004,0.0006616704,0.0017098784446716309,0.2,-0.0005737028986914083,590,48368.9609375,97536.210546875
499712,1430.4266235999999,98,28,923.91687447,61,83.14,17360,922.0928220000001,0.010505472000000002,-0.8481310129165649,0.0,4.160848e-05,0.000655936,0.0017392635345458984,0.2,-5.23462804267183e-06,600,52521.390625,102777.411328125
507904,1450.796212,101,29,903.4829651100001,62,81.71,17360,828.40804,0.010349824,-0.8321187496185303,0.0,0.0003521938,0.0006502016000000001,0.00587695837020874,0.2,-0.0003259365155827254,610,63451.6171875,125930.47265625
516096,1350.9390986,105,29,834.36578659,63,77.58,17358,762.289196,0.010194176,-0.8183336153626442,0.0,8.04273e-05,0.0006444672,0.0024759769439697266,0.2,-9.011425718199461e-05,620,59342.11328125,119341.1982421875
524288,1528.1978387000001,100,30,904.4917957299997,64,82.21,17356,809.3087945,0.010038528000000001,-0.8123192116618156,0.0,0.00027929223,0.0006387328,0.003225386142730713,0.2,-0.000281189288944006,630,59765.859375,118663.8744140625
532480,1428.6407325,106,30,799.61454094,65,78.03,17354,692.3751225,0.00988288,-0.834423366189003,0.0,0.00029874212,0.0006329984,0.003410816192626953,0.2,-0.0001154524419689551,640,63077.6640625,124308.5619140625
540672,1422.016401,101,31,839.2714771400001,66,79.03,17353,709.969433,0.009727231999999999,-0.8424835681915284,0.0,0.00010242931,0.000627264,0.0016894936561584473,0.2,-0.00015467652410734446,650,51311.6484375,106987.0900390625
548864,1335.1037412,105,31,838.20590032,67,78.81,17351,726.517187,0.009571584000000001,-0.8310122713446617,0.0,4.339032e-05,0.0006215296,0.0018094778060913086,0.2,-9.63118567597121e-05,660,57362.5625,114497.97265625
557056,1426.3050433,102,32,855.4978635700002,68,81.33,17349,711.9803515,0.009415936,-0.8213405221700668,0.0,0.00020489178,0.0006157952,0.0023130178451538086,0.2,-0.00035852249711751936,670,56085.671875,111657.4990234375
565248,1281.9854896000002,105,32,788.89747051,69,77.98,17346,652.840141,0.009260288000000002,-0.8159026607871056,0.0,0.00026125798,0.0006100608,0.004865407943725586,0.2,-0.0002492612664354965,680,56106.2890625,111727.0947265625
573440,1336.9533158,107,33,809.26689684,70,76.55,17344,739.720489,0.00910464,-0.8087231501936912,0.0,4.7748872e-05,0.0006043264,0.0047266483306884766,0.2,-0.00010831311228685082,690,44701.2734375,93228.98046875
581632,1378.0065048,103,33,802.6307749300001,71,78.34,17343,707.607876,0.008948992,-0.7946701869368553,0.0,5.9539394e-05,0.000598592,0.003081202507019043,0.2,-0.00011835342738777399,700,51724.546875,104295.3927734375
589824,1639.3728724000002,105,34,915.0168117499999,72,79.39,17342,770.147684,0.008793344,-0.8000150308012962,0.0,6.380706e-05,0.0005928576,0.003246128559112549,0.2,-5.084440053906292e-05,710,49939.5859375,98169.4830078125
598016,1461.3216922000001,100,34,915.2422787800002,73,81.45,17341,841.5456795,0.008637696,-0.784479920566082,0.0,0.00038949415,0.0005871232,0.0021063685417175293,0.2,-0.00042568283679429443,720,77784.1171875,150190.940625
606208,1442.8424106000002,105,34,855.1244436000001,74,78.56,17338,725.27346,0.008482048,-0.7624467328190804,0.0,0.0006240752,0.0005813888,0.004212796688079834,0.2,-0.0004686827945988625,730,61463.15234375,122959.191015625
614400,1505.7130763999999,103,35,920.4751403500002,75,79.29,17336,830.270025,0.008326400000000001,-0.7517880961298943,0.0,1.8080107e-05,0.0005756544,0.006680428981781006,0.2,-4.334488621680066e-05,740,56284.1953125,113959.325390625
622592,1370.3864347,104,35,833.6356362600001,76,77.93,17333,744.552481,0.008170752,-0.7500003173947334,0.0,5.7392936e-05,0.00056992,0.003799140453338623,0.2,-9.591353518771939e-05,750,77082.3984375,147758.989453125
630784,1379.3188376000003,95,36,1049.21774266,77,86.87,17331,691.395385,0.008015103999999999,-0.764709360897541,0.0,2.5808236e-05,0.0005641856,0.0015598535537719727,0.2,-2.2362303570844234e-05,760,58954.62890625,116380.9060546875
