rollout_id,env_id,ep_rew_total,ep_len,timestep_global,terminal_status,x_pos,y_pos,x_vel,y_vel,angle,angular_vel,leg1_contact,leg2_contact,reward_y_oscillation,reward_pad_level_bonus,reward_vy_sign_flip,reward_bounce_speed,reward_main_engine_bonus,reward_anti_hover_penalty,reward_legs_penalty,reward_survival,reward_upright_bonus
0,0,145.5681,79,3064,crashed,-0.56476486,-0.30691263,-0.15125856,0.052575376,0.47522214,-0.49216062,1.0,1.0,89.0,36.93140016533074,0.0,62.479077868163586,-19.500000000000018,0.0,-20.0,7.899999999999988,-11.242378229741007
0,5,61.928491,83,3120,crashed,0.511335,-0.06047905,0.06866077,0.064742066,-1.3994253,-0.35759452,1.0,0.0,36.0,29.687579895176924,0.0,41.97255237400532,-13.500000000000005,-6.0,-16.0,8.299999999999986,-18.53164081182331
0,7,17.545603,79,3136,crashed,0.49978894,-0.0031301999,0.7060145,-0.75324374,-1.2622844,-6.4095125,1.0,0.0,12.0,20.741093145379683,0.0,37.08411467075348,-31.000000000000032,0.0,-12.0,7.899999999999988,-17.17960496339947
0,1,113.899257,92,3160,crashed,-0.4843751,-0.0443329,-0.6845051,-0.27310607,2.7815478,3.331203,0.0,0.0,118.0,69.06702727116115,0.0,43.8308593891561,-11.500000000000028,-60.0,-28.0,9.199999999999983,-26.698630042839795
0,6,-14.429782,105,3384,crashed,0.733774,0.0035929894,1.205056,0.13019651,-2.0393524,-1.5441374,1.0,0.0,7.0,28.38656110332058,0.0,38.60623395442963,-38.00000000000002,-6.0,-24.0,10.499999999999979,-30.922577158547938
0,2,111.563082,77,3432,crashed,0.61062586,-0.16323687,1.1576322,-0.8146709,-0.48462984,4.2639914,1.0,1.0,63.0,35.20457743840902,0.0,49.62187361717224,-15.600000000000016,0.0,-16.0,7.699999999999989,-12.363368752412498
0,0,48.68678,74,3656,crashed,0.058009338,0.005388925,-0.2256473,-0.0005926825,0.94086224,0.62542975,0.0,1.0,31.0,23.51211944945784,0.0,34.85815853625536,-20.100000000000023,-6.0,-12.0,7.39999999999999,-9.98349836954003
0,3,-69.001492,109,3656,out_of_bounds,1.0069616,0.083446175,1.6394196,-1.7258035,-1.8202403,-0.07749128,0.0,0.0,-46.0,10.861798440251235,0.0,28.911011695861816,-25.100000000000033,0.0,0.0,10.899999999999977,-48.57430211594328
0,4,29.198626,107,3752,landed_off_centered,0.2860446,-0.08536927,0.60542697,-1.0825489,-0.33430222,-4.8216887,1.0,1.0,5.0,26.819635170434715,0.0,44.21023440361023,-32.70000000000003,0.0,-16.0,10.699999999999978,-8.831243976892438
0,5,42.39077,86,3808,landed_off_centered,0.60801905,-0.019150462,0.4192725,-0.45178217,-0.084727935,4.614169,1.0,1.0,19.0,23.972086152924117,0.0,39.306267619132996,-20.500000000000014,0.0,-20.0,8.599999999999985,-7.987583328969777
0,6,34.606135,71,3952,crashed,0.3810872,0.079914674,-0.21689384,-0.07601784,0.28681025,1.0839753,0.0,1.0,13.0,14.452950453768542,0.0,27.776057690382004,-15.400000000000007,-6.0,-4.0,7.099999999999991,-2.3228727229870856
0,7,74.20553,111,4024,crashed,-0.21077904,0.033284508,-0.19951646,0.116328806,1.6496247,0.7956722,0.0,1.0,36.0,35.47265479502107,0.0,34.70567375421524,0.899999999999987,-6.0,-20.0,11.099999999999977,-17.97279864910888
0,1,-22.484489,120,4120,crashed,-0.57293844,-0.12876147,-1.6249897,-0.25098404,2.1678674,0.94135064,0.0,1.0,-8.0,29.500698485387538,0.0,48.77946299314499,-49.99999999999994,0.0,-20.0,11.999999999999973,-34.76465017348528
0,4,12.188042,61,4240,landed_off_centered,-0.40388465,0.11318358,-0.35205013,-0.008773779,-0.013768421,1.5858378,1.0,1.0,9.0,11.328184450255275,0.0,25.05230755545199,-23.50000000000002,-6.0,-8.0,6.099999999999994,-1.792449914442841
0,2,102.962782,105,4272,crashed,0.515319,-0.10393845,0.19016133,0.009378001,0.07405044,-5.461026e-08,0.0,1.0,42.0,37.23317188426614,0.0,44.85914167761803,-8.1,-6.0,-16.0,10.499999999999979,-1.5295317708223592
0,5,60.580584,63,4312,landed_off_centered,-0.21898703,-0.024561372,0.05276633,-0.9114629,-0.1408682,-5.3292847,1.0,1.0,35.0,21.710495056853112,0.0,38.85948610305786,-22.800000000000022,0.0,-16.0,6.299999999999994,-2.4893975120503455
0,3,35.461306,90,4376,landed_off_centered,0.3984847,-0.022405054,0.053287894,0.004446307,0.12975626,0.016279232,1.0,1.0,15.0,24.863852100851965,0.0,36.585423309355974,-21.400000000000013,-6.0,-20.0,8.999999999999984,-2.587969023035839
