rollout_id,env_id,ep_rew_total,ep_len,timestep_global,terminal_status,x_pos,y_pos,x_vel,y_vel,angle,angular_vel,leg1_contact,leg2_contact,reward_hover_high,reward_spin_angle,reward_spin_rate,reward_wander_position,reward_wander_velocity,reward_action_preference,reward_anti_landing,reward_survival
0,0,285.216592,91,7960,landed_off_centered,0.7141552,-0.05939976,1.0378172,-0.8790584,-0.041610166,-4.691619,1.0,1.0,165.57697955938056,12.019164375029504,7.041653183056042,48.94006536155939,35.438729375600815,7.100000000000007,0.0,9.099999999999984
0,3,376.553655,113,8016,crashed,0.7183992,-0.044750717,0.12181151,0.027886335,-0.62236387,-0.35634243,1.0,0.0,236.7732534147799,20.450635635992512,7.56161167146638,56.51814585365355,35.95000857114792,8.00000000000001,0.0,11.299999999999976
0,2,377.897349,110,8040,out_of_bounds,-0.98107994,-0.21328424,-1.2856007,-1.2294514,0.536219,3.2824452,1.0,0.0,205.51967347832397,20.40053408034146,6.887094716541469,77.64393576979637,48.94611111283302,7.500000000000008,0.0,10.999999999999977
0,5,205.101346,86,8056,landed_off_centered,0.3672617,-0.089614384,0.18824646,0.005844282,-0.14059347,0.18037175,1.0,1.0,138.83745873346925,9.440738260746002,2.311845160962548,22.51841382496059,18.192889720201492,5.200000000000004,0.0,8.599999999999985
0,4,292.469369,99,8168,crashed,-0.36889777,0.120295726,0.13245112,-0.4653368,-0.10404271,-4.4590464,0.0,1.0,203.1125124245882,21.52033625682816,7.38512512401212,24.55154012236744,18.399855509400368,7.600000000000012,0.0,9.89999999999998
1,1,221.457922,86,8248,crashed,-0.26279217,-0.03405253,-0.5424806,-0.53232473,0.4521511,-4.1837516,0.0,1.0,154.11544604040682,10.624088835524162,9.896695040399209,16.299696527421474,13.221995547413826,8.700000000000006,0.0,8.599999999999985
1,6,446.963361,108,8392,crashed,0.7567421,0.082983404,2.0003147,-0.48742834,-2.574304,-1.7156565,0.0,0.0,242.93340498209,74.0561204701662,25.5475533567369,49.28122377768159,37.84505869448185,6.500000000000006,0.0,10.799999999999978
1,5,223.817,65,8576,crashed,0.6297409,0.016804084,1.4272988,-0.77710146,-1.798639,-6.3346987,1.0,0.0,104.00966700911522,31.75066876783967,17.903090555220842,28.21240008622408,31.64117392897606,3.800000000000001,0.0,6.499999999999993
1,7,239.159354,98,8576,crashed,-0.13862629,-0.013028016,-0.30571017,-0.3775371,0.40295345,-3.950875,0.0,1.0,180.79497842025012,22.008915937505662,7.354970629763557,5.503674758365378,7.096813858952373,6.6000000000000085,0.0,9.799999999999981
1,3,190.821598,75,8616,crashed,0.23165445,-0.04110502,0.7594827,-0.86369306,-0.5318044,4.4235983,1.0,0.0,127.74707046151161,18.509887483436614,8.727501318790019,10.83508871588856,11.802050031721592,5.7000000000000055,0.0,7.499999999999989
1,1,226.186287,63,8752,crashed,0.5750661,0.21634434,0.72376835,0.3286731,-1.8169729,-2.4283032,1.0,0.0,107.64106705784798,36.090859139338136,17.791255742311478,24.324505381286144,28.83859944343567,5.200000000000006,0.0,6.299999999999994
1,2,308.867886,92,8776,crashed,-0.5572449,-0.020018926,-0.40196747,0.108002305,3.5677426,1.2636673,0.0,0.0,116.2074196622707,79.24445874942467,35.4035568498075,34.911291904747486,27.401159033179283,6.500000000000008,0.0,9.199999999999983
1,4,471.544899,88,8872,out_of_bounds,-1.009487,1.0776746,-1.9766419,-1.1237098,2.059923,0.744678,0.0,0.0,253.93565273284912,79.48038348089904,20.532769612967968,52.065142560750246,50.63095027208328,6.1000000000000085,0.0,8.799999999999985
1,0,501.134549,126,8968,crashed,-0.9366235,0.055055246,-0.043713477,-0.7396149,-0.5777882,5.0777664,1.0,0.0,297.4131025224924,29.158646348922048,13.487586938310415,93.32138032466173,46.15383271686733,9.000000000000004,0.0,12.599999999999971
1,7,440.388332,87,9272,out_of_bounds,1.0053629,0.9960496,1.8757709,-1.0615932,-1.6480258,-0.7609698,0.0,0.0,245.43012869358063,58.304383946582675,16.397184044122696,55.0470903031528,50.409544587135315,6.100000000000006,0.0,8.699999999999985
1,6,439.692514,141,9520,crashed,-0.38810062,-0.0825291,0.46669072,0.009583366,0.068294756,0.25589707,0.0,1.0,246.38007447838754,47.82376885926351,19.005775570316473,74.94864138588309,30.634253808762878,6.80000000000002,0.0,14.099999999999966
1,0,326.316019,87,9664,crashed,0.61529195,0.24431771,0.39690876,0.061357398,-1.5914863,0.15779933,0.0,0.0,185.55203649401665,45.01000161189586,15.597179890610278,33.27644381206483,30.980357617139816,7.20000000000001,0.0,8.699999999999985
1,3,603.270337,141,9744,out_of_bounds,0.95471513,0.27789932,1.0503396,-0.24524888,-3.9943817,-0.55193746,0.0,0.0,302.69927632808685,93.94498889055103,40.31861556964577,93.88508280552924,47.12237298488617,11.199999999999996,0.0,14.099999999999966
1,5,637.155539,159,9848,out_of_bounds,1.0079893,-0.10497439,0.87770176,-0.62658376,-0.11247167,-1.0015464,0.0,0.0,358.63400690048,52.08151107071899,17.223131883889437,132.24370839819312,50.07318052649498,11.0,0.0,15.89999999999996
1,2,479.326813,141,9904,crashed,-0.8426408,-0.05556606,-1.1832917,-0.32216343,-0.48104605,1.8836586,1.0,0.0,296.9704427719116,30.932803090661764,13.228313748491928,73.76280779577792,41.832445323467255,8.500000000000009,0.0,14.099999999999966
1,4,568.227017,140,9992,out_of_bounds,1.0079167,0.14373566,1.4566122,-1.5339569,-1.1788576,-0.4837039,0.0,0.0,346.902146846056,52.21894278982654,11.770700789173134,83.07279798109084,50.66242827475071,9.600000000000001,0.0,13.999999999999966
1,7,298.367895,91,10000,crashed,0.6904789,-0.06210736,1.404134,-0.46308324,-0.7841724,2.7200613,1.0,0.0,158.74939516186714,39.417036551982164,9.709409154951572,40.901553944684565,34.690500661730766,5.800000000000005,0.0,9.099999999999984
1,1,653.073045,165,10072,out_of_bounds,-1.0049338,0.17275415,-1.2867959,-1.4737288,1.1538395,0.583536,0.0,0.0,421.60717037320137,49.44066503923386,12.350482871872373,94.9300691075623,50.544657319784164,7.700000000000011,0.0,16.499999999999964
